"Name","URL","Path"
"19-20_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/13YJAS310o_npPRnj1nDPuIFzf2uU1wE1/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/19-20_-_Phy_Lab_-_Compre_1.pdf"
"18-19_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/1vnunY18ZQyL6nbiXloE_VvfK42sWLB2x/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/18-19_-_Phy_Lab_-_Compre_1.pdf"
"17-18_-_Phy_Lab_-_Compre_1_Set_B.pdf","https://drive.google.com/file/d/1N7Wp03ZPYV9aTKdaiCC1977vR3tYViFJ/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/17-18_-_Phy_Lab_-_Compre_1_Set_B.pdf"
"15-16_-_Phy_Lab_-_Compre_1_Set_B.pdf","https://drive.google.com/file/d/1kokSpwmJuNHdR_XEn_TdPQYPBod8Sa92/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/15-16_-_Phy_Lab_-_Compre_1_Set_B.pdf"
"17-18_-_Phy_Lab_-_Compre_1_Set_A.pdf","https://drive.google.com/file/d/1IV4R28oeW-PqkJ9ogqwwZpNIqzBChY3B/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/17-18_-_Phy_Lab_-_Compre_1_Set_A.pdf"
"17-18_-_Phy_Lab_-_Compre_1_Set_A_Solutions.pdf","https://drive.google.com/file/d/1FgKWcYcFGSsGUaijiIyTgz836G6ZOT4m/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/17-18_-_Phy_Lab_-_Compre_1_Set_A_Solutions.pdf"
"16-17_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/1ROx-CR5_Mwoxlyj73i7mwdJHhy82dvM0/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/16-17_-_Phy_Lab_-_Compre_1.pdf"
"15-16_-_Phy_Lab_-_Compre_1_Set_B_Solutions.pdf","https://drive.google.com/file/d/1mGd7cSoH1aUZp-w8oaoDh0oIRMbgNB2b/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/15-16_-_Phy_Lab_-_Compre_1_Set_B_Solutions.pdf"
"15-16_-_Phy_Lab_-_Compre_1_Set_A.pdf","https://drive.google.com/file/d/1D9yFYlAXabSBEVLMa7yu-JJbdnLFSmFS/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/15-16_-_Phy_Lab_-_Compre_1_Set_A.pdf"
"15-16_-_Phy_Lab_-_Compre_1_Set_A_Solutions.pdf","https://drive.google.com/file/d/10ZbKc1ENVLTiVUpLuBR1q0_yuSEDvpNd/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/15-16_-_Phy_Lab_-_Compre_1_Set_A_Solutions.pdf"
"13-14_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/1qXj1hqdaPlf0YVoBWUYI9mRoACo-vhmn/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/13-14_-_Phy_Lab_-_Compre_1.pdf"
"14-15_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/1V5R86ZFnb5zsTZviZrS7d7oReFUKYAvA/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/14-15_-_Phy_Lab_-_Compre_1.pdf"
"12-13_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/1pavF0LxKsMEpbaY7uFEz7l6n9uGWtMbW/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/12-13_-_Phy_Lab_-_Compre_1.pdf"
"11-12_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/1kGCsusOF37ZMhYNQEfVdCszKjk1U3x9L/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/11-12_-_Phy_Lab_-_Compre_1.pdf"
"Linear-Algebra-QUIZ-2019-20.pdf","https://drive.google.com/file/d/1hrQF06oxzBnqYVWx5ST4cpRFTPo4_ywE/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Quizzes and Solutions/Linear-Algebra-QUIZ-2019-20.pdf"
"Quiz2B.pdf","https://drive.google.com/file/d/1rTAGKMa2UfG8nTRupeYq3Eiv8SsElEkB/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Quizzes and Solutions/Quiz2B.pdf"
"Mathematics-2-Course-Quiz-2-Attempt-Review.pdf","https://drive.google.com/file/d/1fyPTl7tL_93h9i-xDa0ljzfZMPEbzka7/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Quizzes and Solutions/Mathematics-2-Course-Quiz-2-Attempt-Review.pdf"
"m2-quiz-2a.pdf","https://drive.google.com/file/d/1k1uUsmr8ybhA37GqSemn3yJ6vsAIfcGH/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Quizzes and Solutions/m2-quiz-2a.pdf"
"Quiz1SetB.pdf","https://drive.google.com/file/d/11ZjVLJXerxHDF7eWoyfRryI3iKKVJDFp/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Quizzes and Solutions/Quiz1SetB.pdf"
"Quiz1SetA.pdf","https://drive.google.com/file/d/1Sy99gGj15N1qJmnTMl9-aPlf801QozR5/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Quizzes and Solutions/Quiz1SetA.pdf"
"Mathematics-2-Course-Quiz-1-Attempt-Review.pdf","https://drive.google.com/file/d/1GFMcQYLSER3QCO_Fy0cGh7KlkUK6h4fG/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Quizzes and Solutions/Mathematics-2-Course-Quiz-1-Attempt-Review.pdf"
"21-22_-_M2_-_Compre_2_NAC_Solutions.pdf","https://drive.google.com/file/d/1AZQpPQRevdBaoGvYar91BQ04u7epNPKt/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Compre PYQs and Solutions/21-22_-_M2_-_Compre_2_NAC_Solutions.pdf"
"23-24_-_M2_-_Compre_Solutions.pdf","https://drive.google.com/file/d/1JVSiJ39XtSg328LseBbhIvXhcyXj_eq9/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Compre PYQs and Solutions/23-24_-_M2_-_Compre_Solutions.pdf"
"22-23_-_M2_-_Compre_2_Solutions.pdf","https://drive.google.com/file/d/10g5jOl7CClVX4OkiiCcsRYwxO41p-Z6B/view?usp=drivesdk","studywise_drive/Mathematics 2 MATH F112/Compre PYQs and Solutions/22-23_-_M2_-_Compre_2_Solutions.pdf"
